,State Code,State Name,Year,Avg Rice Area (1000 ha),Avg Rice Production (1000 tons),Avg Rice Yield (Kg/ha),Avg Wheat Area (1000 ha),Avg Wheat Production (1000 tons),Avg Wheat Yield (Kg/ha),Avg Maize Area (1000 ha),Avg Maize Production (1000 tons),Avg Maize Yield (Kg/ha),Avg Chickpea Area (1000 ha),Avg Chickpea Production (1000 tons),Avg Chickpea Yield (Kg/ha),Avg Groundnut Area (1000 ha),Avg Groundnut Production (1000 tons),Avg Groundnut Yield (Kg/ha),Total State Nitrogen Consumption (tons),Total State Phosphate Consumption (tons),Total State Potash Consumption (tons),Total State Consumption (tons),Rice Production per Ton Fertilizer,Wheat Production per Ton Fertilizer,Maize Production per Ton Fertilizer,Chickpea Production per Ton Fertilizer,Groundnut Production per Ton Fertilizer,RICE_IRRIGATED_AREA_(1000_ha),WHEAT_IRRIGATED_AREA_(1000_ha),MAIZE_IRRIGATED_AREA_(1000_ha),CHICKPEA_IRRIGATED_AREA_(1000_ha),GROUNDNUT_IRRIGATED_AREA_(1000_ha),Annual_Rainfall
0,1,Andhra Pradesh,2000,244.9790909,730.97,2812.86,0.136363636,0.077272727,156.8145455,7.125454545,27.35272727,3590.452727,15.10909091,18.53090909,1484.559091,146.4545455,167.8636364,1341.372727,787410,366772,147049,1301228,0.561753974,5.94E-05,0.021020703,0.014241093,0.129004015,234.186,0.036,3.15,0.117,16.117,992.3
1,1,Andhra Pradesh,2001,228.6690909,711.2445455,2898.49,0.148181818,0.101818182,284.1209091,5.290909091,24.64818182,4428.016364,22.30363636,29.00727273,1507.446364,132.1836364,90.92272727,1345.175455,707050,352767,163402,1223218,0.581453629,8.32E-05,0.020150277,0.023713903,0.074330763,220.777,0.041,2.621,0.185,13.721,1009.3
2,1,Andhra Pradesh,2002,169.7272727,483.1818182,2521.583636,0.090909091,0.181818182,90.90909091,6.818181818,29.36363636,3255.307273,30.09090909,28.18181818,423.4481818,116,60,1078.6,616975,284104,152142,1053218,0.458767148,0.000172631,0.027879923,0.02675782,0.056968263,162.006,0.037,3.704,0.258,11.123,703.2
3,1,Andhra Pradesh,2003,177.9390909,550.3718182,2697.104545,0.104545455,0.030909091,77.00272727,11.01909091,44.99818182,3377.17,30.41272727,32,1105.44,117.9318182,69.32,1182.018182,656864,301271,170404,1128536,0.487686541,2.74E-05,0.039873058,0.028355321,0.061424713,169.485,0.044,6.365,0.293,12.152,1096.8
4,1,Andhra Pradesh,2004,202.5172727,672.06,3121.2,0.070909091,0.016363636,41.95818182,11.34,64.74818182,4626.862727,24.40727273,25.58,1076.540909,149.6509091,131.1063636,1480.26,734017,366667,204411,1305094,0.514951413,1.25E-05,0.049611891,0.019600121,0.10045741,194.609,0.038,6.792,0.223,12.494,873.6
5,1,Andhra Pradesh,2005,229.1563636,662.6118182,2713.673636,0.099090909,0.059090909,165.1409091,10.89363636,67.96363636,5656.499091,29.16727273,47.49909091,1558.58,152.3645455,100.8118182,1577.540909,875064,424317,223576,1522958,0.435082135,3.88E-05,0.044626074,0.031188707,0.066194746,222.988,0.035,6.861,0.292,13.459,1221.6
6,1,Andhra Pradesh,2006,226.2627273,692.4,2945.995455,0.080909091,0.021818182,78.65,12.22181818,75.96818182,5714.56,45.51272727,46.74818182,1196.979091,104.9963636,47.63909091,1451.610909,849793,426510,204163,1480468,0.467689947,1.47E-05,0.051313626,0.031576624,0.0321784,219.133,0.025,8.371,0.219,11.698,1159.6
7,1,Andhra Pradesh,2007,234.3281818,807.3109091,3273.420909,0.083636364,0.029090909,94.11818182,16.47454545,114.81,6290.12,46.57181818,68.12090909,1149.707273,144.4009091,205.1690909,1747.807273,898082,434233,263548,1595861,0.505877961,1.82E-05,0.071942356,0.042685992,0.128563259,227.107,0.035,11.894,0.162,14.717,1099.2
8,1,Andhra Pradesh,2008,245.0663636,807.3281818,3053.298182,0.093636364,0.064545455,235.3036364,22.84818182,178.0436364,6438.663636,44.30818182,60.91363636,1355.705455,142.3381818,59.78090909,1412.995455,985993,525329,305684,1817007,0.444317596,3.55E-05,0.097987315,0.033524162,0.032900759,237.896,0.039,17.042,0.129,12.463,1107.5
9,1,Andhra Pradesh,2009,211.4309091,688.1,3064.878182,0.071818182,0.039090909,213.04,19.39818182,126.8354545,5955.252727,47.76727273,61.02272727,1318.651818,98.88727273,58.88909091,1527.569091,1022094,564604,309135,1895832,0.362954101,2.06E-05,0.066902265,0.032187835,0.031062399,205.795,0.029,15.743,0.174,12.745,790.5
